1468366493;;;;
#poses;f;isConstant;;
0;1137.78;0;;
2;1137.78;0;;
3;1019.47;0;;
4;1006.72;0;;
5;1006.61;0;;
6;1011.06;0;;
7;1012.93;0;;
8;1018.41;0;;
9;1235.15;0;;
10;1286.35;0;;
10;1318.78;0;;
11;1307.59;0;;
11;1318.22;0;;
12;1280.09;0;;
12;1284.82;0;;
13;1272.18;0;;
13;1273.18;0;;
14;1266.04;0;;
14;1269.78;0;;
15;1276.37;0;;
15;1277.63;0;;
16;1284.62;0;;
17;1291.59;0;;
18;1299.11;0;;
18;1300.72;0;;
19;1306.49;0;;
20;1312.57;0;;
20;1315.23;0;;
21;1319.62;0;;
22;1322.97;0;;
22;1324.56;0;;
23;1326.63;0;;
23;1328.42;0;;
24;1327.34;0;;
24;1328.92;0;;
25;1324.37;0;;
25;1325.85;0;;
26;1325.9;0;;
26;1328.29;0;;
27;1326.76;0;;
27;1328.45;0;;
27;1329.72;0;;
28;1329.24;0;;
28;1331.08;0;;
28;1333.53;0;;
29;1346.8;0;;
29;1366.08;0;;
60;1364.49;0;;
60;1366.29;0;;
60;1368.3;0;;
90;1361.19;0;;
90;1375.06;0;;
90;1376.5;0;;
90;1377.83;0;;
120;1372.64;0;;
120;1373.02;0;;
120;1374.45;0;;
121;1374.45;1;;
121;1374.45;1;;
