1468366493;;;;
#poses;f;isConstant;;
0;56000;0;;
2;56000;0;;
3;66438.4;0;;
4;89777.1;0;;
4;92532.4;0;;
5;84096.7;0;;
5;84702.5;0;;
6;83304.6;0;;
6;83304.6;0;;
7;81977.6;0;;
7;81977.6;0;;
8;80258;0;;
8;80162.3;0;;
9;67073.2;0;;
9;67419.7;0;;
10;66020.3;0;;
10;66048.6;0;;
11;64222.6;0;;
11;64371;0;;
12;63424.9;0;;
12;63771.8;0;;
13;65276.2;0;;
13;65661.5;0;;
14;64332.1;0;;
14;64600.1;0;;
15;64327.5;0;;
15;66764.7;0;;
16;64011.7;0;;
16;65950.6;0;;
17;66759.6;0;;
17;71020.1;0;;
17;71097.4;0;;
18;69595.4;0;;
18;78529.7;0;;
18;81176.1;0;;
19;78829.8;0;;
19;82168.6;0;;
19;82489.3;0;;
20;80570.5;0;;
20;80691.1;0;;
21;78372.1;0;;
21;83715.4;0;;
21;85415.2;0;;
22;85846.1;0;;
22;96126;0;;
23;95850.9;0;;
23;95674.3;0;;
24;98094.7;0;;
24;99686.9;0;;
25;154490;0;;
25;124972;0;;
25;119815;0;;
26;166423;0;;
26;136308;0;;
26;130641;0;;
27;129327;0;;
27;130262;0;;
27;130193;0;;
28;140341;0;;
28;141966;0;;
