1468366493;;;;
#poses;f;isConstant;;
0;1545.1;1;;
2;1545.1;1;;
3;1545.1;1;;
4;1545.1;1;;
5;1545.1;1;;
6;1545.1;1;;
6;1545.1;1;;
7;1545.1;1;;
7;1545.1;1;;
8;1545.1;1;;
8;1545.1;1;;
9;1545.1;1;;
9;1545.1;1;;
10;1545.1;1;;
10;1545.1;1;;
11;1545.1;1;;
11;1545.1;1;;
12;1545.1;1;;
12;1545.1;1;;
13;1545.1;1;;
13;1545.1;1;;
14;1545.1;1;;
14;1545.1;1;;
15;1545.1;1;;
15;1545.1;1;;
16;1545.1;1;;
16;1545.1;1;;
17;1545.1;1;;
17;1545.1;1;;
18;1545.1;1;;
18;1545.1;1;;
19;1545.1;1;;
19;1545.1;1;;
20;1545.1;1;;
20;1545.1;1;;
21;1545.1;1;;
21;1545.1;1;;
22;1545.1;1;;
22;1545.1;1;;
23;1545.1;1;;
23;1545.1;1;;
24;1545.1;1;;
24;1545.1;1;;
25;1545.1;1;;
25;1545.1;1;;
26;1545.1;1;;
25;1545.1;1;;
26;1545.1;1;;
26;1545.1;1;;
27;1545.1;1;;
27;1545.1;1;;
28;1545.1;1;;
28;1545.1;1;;
29;1545.1;1;;
29;1545.1;1;;
53;1545.1;1;;
49;1545.1;1;;
49;1545.1;1;;
75;1545.1;1;;
73;1545.1;1;;
73;1545.1;1;;
103;1545.1;1;;
103;1545.1;1;;
120;1545.1;1;;
120;1545.1;1;;
120;1545.1;1;;
121;1545.1;1;;
121;1545.1;1;;
