1468366493;;;;
#poses;f;isConstant;;
0;1137.78;0;;
2;1137.78;0;;
2;1137.78;0;;
2;1137.78;0;;
3;1814.68;0;;
4;2242.52;0;;
5;2241.05;0;;
6;2229.15;0;;
7;2195.55;0;;
8;2168.43;0;;
9;2161.09;0;;
9;2157.96;0;;
10;2146.22;0;;
10;2143.66;0;;
11;2131.13;0;;
11;2127.98;0;;
12;2114.43;0;;
12;2110.46;0;;
13;2093.71;0;;
13;2088.96;0;;
14;2073.73;0;;
14;2068.43;0;;
15;2052.92;0;;
15;2047.97;0;;
16;2032.21;0;;
16;2025.51;0;;
17;2009.05;0;;
17;2001.53;0;;
18;1980.26;0;;
18;1980.26;0;;
19;1959.86;0;;
19;1945.65;0;;
20;1927.03;0;;
20;1910.45;0;;
21;1877.93;0;;
21;1863.38;0;;
22;1816.33;0;;
22;1795.06;0;;
23;1778.62;0;;
23;1752.1;0;;
24;1720.83;0;;
24;1702.77;0;;
25;1676.43;0;;
25;1665.1;0;;
26;1642.55;0;;
26;1642.55;0;;
27;1622.58;0;;
27;1614.81;0;;
28;1600.51;0;;
28;1593.04;0;;
