1468366493;;;;
#poses;f;isConstant;;
0;1400;1;;
2;1400;1;;
2;1400;1;;
3;1400;1;;
4;1400;1;;
5;1400;1;;
6;1400;1;;
7;1400;1;;
7;1400;1;;
8;1400;1;;
8;1400;1;;
9;1400;1;;
9;1400;1;;
10;1400;1;;
10;1400;1;;
11;1400;1;;
11;1400;1;;
12;1400;1;;
12;1400;1;;
13;1400;1;;
13;1400;1;;
14;1400;1;;
14;1400;1;;
15;1400;1;;
15;1400;1;;
16;1400;1;;
16;1400;1;;
17;1400;1;;
17;1400;1;;
18;1400;1;;
18;1400;1;;
19;1400;1;;
19;1400;1;;
20;1400;1;;
20;1400;1;;
21;1400;1;;
21;1400;1;;
22;1400;1;;
22;1400;1;;
23;1400;1;;
23;1400;1;;
24;1400;1;;
24;1400;1;;
25;1400;1;;
25;1400;1;;
26;1400;1;;
26;1400;1;;
27;1400;1;;
27;1400;1;;
27;1400;1;;
28;1400;1;;
28;1400;1;;
28;1400;1;;
