1468366493;;;;
#poses;f;isConstant;;
0;56000;1;;
2;56000;1;;
3;56000;1;;
4;56000;1;;
4;56000;1;;
5;56000;1;;
5;56000;1;;
6;56000;1;;
6;56000;1;;
7;56000;1;;
7;56000;1;;
7;56000;1;;
8;56000;1;;
8;56000;1;;
8;56000;1;;
9;56000;1;;
9;56000;1;;
10;56000;1;;
10;56000;1;;
11;56000;1;;
11;56000;1;;
12;56000;1;;
12;56000;1;;
12;56000;1;;
13;56000;1;;
13;56000;1;;
14;56000;1;;
14;56000;1;;
15;56000;1;;
15;56000;1;;
16;56000;1;;
16;56000;1;;
17;56000;1;;
17;56000;1;;
17;56000;1;;
18;56000;1;;
18;56000;1;;
19;56000;1;;
19;56000;1;;
20;56000;1;;
20;56000;1;;
21;56000;1;;
21;56000;1;;
22;56000;1;;
22;56000;1;;
22;56000;1;;
23;56000;1;;
23;56000;1;;
24;56000;1;;
24;56000;1;;
24;56000;1;;
25;56000;1;;
25;56000;1;;
26;56000;1;;
26;56000;1;;
27;56000;1;;
27;56000;1;;
27;56000;1;;
28;56000;1;;
28;56000;1;;
28;56000;1;;
