1468366493;;;;
#poses;f;isConstant;;
0;51200;1;;
2;51200;1;;
3;51200;1;;
4;51200;1;;
4;51200;1;;
5;51200;1;;
5;51200;1;;
6;51200;1;;
6;51200;1;;
7;51200;1;;
7;51200;1;;
8;51200;1;;
8;51200;1;;
9;51200;1;;
9;51200;1;;
10;51200;1;;
10;51200;1;;
11;51200;1;;
11;51200;1;;
12;51200;1;;
12;51200;1;;
13;51200;1;;
13;51200;1;;
13;51200;1;;
14;51200;1;;
14;51200;1;;
14;51200;1;;
15;51200;1;;
15;51200;1;;
16;51200;1;;
16;51200;1;;
17;51200;1;;
17;51200;1;;
18;51200;1;;
18;51200;1;;
19;51200;1;;
19;51200;1;;
20;51200;1;;
20;51200;1;;
20;51200;1;;
21;51200;1;;
21;51200;1;;
22;51200;1;;
22;51200;1;;
23;51200;1;;
23;51200;1;;
24;51200;1;;
24;51200;1;;
24;51200;1;;
25;51200;1;;
25;51200;1;;
25;51200;1;;
25;51200;1;;
25;51200;1;;
26;51200;1;;
25;51200;1;;
26;51200;1;;
26;51200;1;;
27;51200;1;;
27;51200;1;;
27;51200;1;;
28;51200;1;;
28;51200;1;;
