1468366493;;;;
#poses;f;isConstant;;
0;1137.78;0;;
2;1137.78;0;;
2;1137.78;0;;
3;1454.96;0;;
4;2270.73;0;;
4;2388.19;0;;
5;2529.72;0;;
5;2525.38;0;;
6;2544.07;0;;
6;2553.79;0;;
7;2565.87;0;;
7;2572.72;0;;
8;2621.24;0;;
8;2637.79;0;;
9;2743.32;0;;
9;2770.08;0;;
10;2813.63;0;;
10;2821.92;0;;
11;2832.56;0;;
11;2847.62;0;;
12;2854.95;0;;
12;2857.35;0;;
13;2877.41;0;;
13;2881.32;0;;
14;2879.38;0;;
14;2880.74;0;;
15;2875.01;0;;
15;2870.73;0;;
15;2868.52;0;;
16;2857.08;0;;
16;2848.47;0;;
16;2844.5;0;;
17;2828.25;0;;
17;2818.6;0;;
17;2810.94;0;;
17;2810.94;0;;
18;2787.93;0;;
18;2776.84;0;;
18;2770.16;0;;
18;2763.25;0;;
18;2758.66;0;;
19;2750.94;0;;
19;2746.53;0;;
19;2743.59;0;;
20;2739.43;0;;
20;2740.36;0;;
21;2739.56;0;;
21;2739.03;0;;
22;2738.29;0;;
22;2737.86;0;;
23;2737.16;0;;
23;2738.22;0;;
24;2739.2;0;;
24;2742.78;0;;
25;2743.36;0;;
25;2743.9;0;;
26;2745.85;0;;
26;2747.39;0;;
27;2750.82;0;;
27;2752.31;0;;
28;2755.61;0;;
28;2755.97;0;;
