1468366493;;;;
#poses;f;isConstant;;
0;1244.44;0;;
2;1244.44;0;;
2;1244.44;0;;
2;1244.44;0;;
2;1244.44;0;;
2;1244.44;0;;
3;1287.89;0;;
4;1277.3;0;;
5;1274.21;0;;
6;1275.89;0;;
7;1279.33;0;;
7;1282.29;0;;
8;1284.53;0;;
8;1286.66;0;;
9;1289.9;0;;
9;1291.54;0;;
10;1296.42;0;;
10;1298.11;0;;
11;1296.81;0;;
11;1299.17;0;;
12;1296.96;0;;
12;1298.28;0;;
13;1297.6;0;;
13;1299.09;0;;
14;1292.31;0;;
14;1292.28;0;;
15;1287.78;0;;
15;1288.73;0;;
16;1288.96;0;;
16;1288.48;0;;
17;1286.76;0;;
17;1286.62;0;;
18;1284.22;0;;
18;1284.29;0;;
19;1282.17;0;;
19;1281.7;0;;
20;1277.19;0;;
20;1276.81;0;;
21;1274.19;0;;
21;1273.72;0;;
22;1271;0;;
22;1270.63;0;;
23;1264.87;0;;
23;1264.83;0;;
24;1261.86;0;;
24;1261.92;0;;
25;1258.97;0;;
25;1259.12;0;;
26;1254.35;0;;
26;1254.46;0;;
27;1247.11;0;;
27;1248.2;0;;
28;1248.04;0;;
28;1248.52;0;;
29;1247.44;0;;
29;1247.72;0;;
60;1249.66;0;;
60;1252.96;0;;
60;1253.72;0;;
90;1248.82;0;;
90;1251.63;0;;
90;1254.11;0;;
90;1255.34;0;;
120;1251.78;0;;
120;1255.93;0;;
120;1258.54;0;;
120;1260.08;0;;
121;1260.52;0;;
121;1263.59;0;;
121;1264.51;0;;
