frame,time_extract,time_match,time_essential,time_pose,time_total,n_keypoints,n_matches,n_inliers,inlier_ratio,translation_mag
0,0.5923596249999719,0.0,0.0,0.0,0.5923596249999719,1587,0,0,0.0,0.0
1,0.45278806299984353,0.03543492599965248,0.01861116400004903,0.0040605829999549314,0.5108947359995,1887,326,229,0.7024539877300614,0.2131102893755201
2,0.43457147500021165,0.0460004609999487,0.019278946000213182,0.005925854999986768,0.5057767370003603,2000,533,329,0.6172607879924953,0.21311028937552007
3,0.42039482199970735,0.04710332100012238,0.041577282000162086,0.002006347000133246,0.5110817720001251,2001,153,86,0.5620915032679739,0.21311028937552007
4,0.4220699809998223,0.04676637300008224,0.040271810999911395,0.00212925499999983,0.5112374199998158,2000,163,96,0.588957055214724,0.21311028937552007
5,0.4396272289995977,0.04666642899974249,0.14544184099986524,0.002671888999884686,0.6344073879990901,2001,207,91,0.4396135265700483,0.21311028937552007
6,0.37017634800031374,0.03262825799993152,0.11261454299983598,0.0015264919998116966,0.5169456409998929,2003,179,76,0.4245810055865922,0.21311028937552007
7,0.34430496799996035,0.03293966899991574,0.23031250900021405,0.002177107000079559,0.6097342530001697,2000,267,87,0.3258426966292135,0.21311028937552007
8,0.325495229000353,0.022836396000002424,0.010123013999873365,0.0019606060000114667,0.36041524500024025,1448,232,158,0.6810344827586207,0.21311028937552007
9,0.3223238370001127,0.016241221000200312,0.011338465999870095,0.002920186999745056,0.35282371099992815,1424,357,255,0.7142857142857143,0.21311028937552007
10,0.3414961509997738,0.016460834000099567,0.0068057859998589265,0.002657998999893607,0.3674207699996259,1459,323,237,0.7337461300309598,0.2131102893755201
11,0.3226860800000395,0.01659157599988248,0.008220166999763023,0.002729018999616528,0.35022684199930154,1427,333,240,0.7207207207207207,0.2131102893755201
12,0.3276929459998428,0.016618575999927998,0.009883325999908266,0.002959390999876632,0.3571542389995557,1458,362,248,0.6850828729281768,0.2131102893755201
13,0.3428121030001421,0.016738984000312485,0.009307915000135836,0.0029094830001668015,0.3717684850007572,1441,357,248,0.6946778711484594,0.21311028937552007
14,0.3254761530001815,0.016734298999836028,0.009269099999983155,0.0025524990001031256,0.3540320510001038,1465,311,215,0.6913183279742765,0.21311028937552007
15,0.32572613499996805,0.016160627999852295,0.009163136000097438,0.0025087569997594983,0.3535586559996773,1388,303,211,0.6963696369636964,0.21311028937552007
16,0.34181483700012905,0.015048584000396659,0.011126798000077542,0.0025448319997849467,0.3705350510003882,1362,309,207,0.6699029126213593,0.2131102893755201
17,0.32529326099984246,0.014082594999763387,0.008023887000035757,0.0023848679998081934,0.3497846109994498,1303,290,207,0.7137931034482758,0.21311028937552007
18,0.3233642850000251,0.01346218399976351,0.012683845000083238,0.002316848999726062,0.35182716299959793,1290,279,182,0.6523297491039427,0.21311028937552007
19,0.31822265699975105,0.013006125000174507,0.021516146000067238,0.0022469410000667267,0.3549918690000595,1265,270,159,0.5888888888888889,0.2131102893755201
20,0.32084565500008466,0.012128508000387228,0.013243534000139334,0.002335292999759986,0.3485529900003712,1185,284,184,0.647887323943662,0.21311028937552007
21,0.32299516900002345,0.011235242999646289,0.014714080999965518,0.0022442930003307993,0.35118878599996606,1222,284,179,0.6302816901408451,0.21311028937552004
22,0.3151303760000701,0.01143696600001931,0.015345603999776358,0.002388368000083574,0.34430131399994934,1221,304,190,0.625,0.21311028937552004
23,0.3099793950000276,0.011486892999982956,0.019190167000033398,0.0024191460001929954,0.34307560100023693,1221,306,183,0.5980392156862745,0.21311028937552007
24,0.3134034739996423,0.011538503999872773,0.01609392399996068,0.002345867999792972,0.3433817699992687,1213,299,185,0.6187290969899666,0.21311028937552007
25,0.314760464000301,0.01093511099998068,0.017441395999867382,0.002263736999793764,0.3454007079999428,1160,286,187,0.6538461538461539,0.21311028937552007
